Comment,Designator,Footprint,LCSC Part #
220,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12,R0805,C17557
JS203011SCQN,SWITCH_1 SWITCH_2 SWITCH_3,SWITCH_3011SCQN,C2799350
